State,Year,Quarter,District,RegisteredUser,AppOpens
Andhra Pradesh,2018,Q1 (Jan - Mar),east godavari district,350356,0
Andhra Pradesh,2018,Q1 (Jan - Mar),srikakulam district,143839,0
Andhra Pradesh,2018,Q1 (Jan - Mar),visakhapatnam district,497187,0
Andhra Pradesh,2018,Q1 (Jan - Mar),prakasam district,189949,0
Andhra Pradesh,2018,Q1 (Jan - Mar),anantapur district,241192,0
Andhra Pradesh,2018,Q1 (Jan - Mar),kurnool district,240133,0
Andhra Pradesh,2018,Q1 (Jan - Mar),guntur district,317065,0
Andhra Pradesh,2018,Q1 (Jan - Mar),krishna district,323673,0
Andhra Pradesh,2018,Q1 (Jan - Mar),spsr nellore district,194475,0
Andhra Pradesh,2018,Q1 (Jan - Mar),vizianagaram district,128905,0
Andhra Pradesh,2018,Q1 (Jan - Mar),ysr district,186800,0
Andhra Pradesh,2018,Q1 (Jan - Mar),west godavari district,213335,0
Andhra Pradesh,2018,Q1 (Jan - Mar),chittoor district,309541,0
Andhra Pradesh,2018,Q2 (Apr - Jun),east godavari district,454398,0
Andhra Pradesh,2018,Q2 (Apr - Jun),srikakulam district,186913,0
Andhra Pradesh,2018,Q2 (Apr - Jun),visakhapatnam district,636052,0
Andhra Pradesh,2018,Q2 (Apr - Jun),prakasam district,253458,0
Andhra Pradesh,2018,Q2 (Apr - Jun),anantapur district,326383,0
Andhra Pradesh,2018,Q2 (Apr - Jun),kurnool district,319313,0
Andhra Pradesh,2018,Q2 (Apr - Jun),guntur district,420326,0
Andhra Pradesh,2018,Q2 (Apr - Jun),krishna district,431965,0
Andhra Pradesh,2018,Q2 (Apr - Jun),spsr nellore district,261049,0
Andhra Pradesh,2018,Q2 (Apr - Jun),vizianagaram district,167327,0
Andhra Pradesh,2018,Q2 (Apr - Jun),ysr district,248657,0
Andhra Pradesh,2018,Q2 (Apr - Jun),west godavari district,282393,0
Andhra Pradesh,2018,Q2 (Apr - Jun),chittoor district,414306,0
Andhra Pradesh,2018,Q3 (Jul - Sep),east godavari district,558982,0
Andhra Pradesh,2018,Q3 (Jul - Sep),srikakulam district,228456,0
Andhra Pradesh,2018,Q3 (Jul - Sep),visakhapatnam district,769096,0
Andhra Pradesh,2018,Q3 (Jul - Sep),prakasam district,314899,0
Andhra Pradesh,2018,Q3 (Jul - Sep),anantapur district,405855,0
Andhra Pradesh,2018,Q3 (Jul - Sep),kurnool district,394311,0
Andhra Pradesh,2018,Q3 (Jul - Sep),guntur district,518931,0
Andhra Pradesh,2018,Q3 (Jul - Sep),krishna district,537086,0
Andhra Pradesh,2018,Q3 (Jul - Sep),spsr nellore district,322446,0
Andhra Pradesh,2018,Q3 (Jul - Sep),vizianagaram district,203655,0
Andhra Pradesh,2018,Q3 (Jul - Sep),ysr district,308391,0
Andhra Pradesh,2018,Q3 (Jul - Sep),west godavari district,349782,0
Andhra Pradesh,2018,Q3 (Jul - Sep),chittoor district,515727,0
Andhra Pradesh,2018,Q4 (Oct - Dec),east godavari district,694455,0
Andhra Pradesh,2018,Q4 (Oct - Dec),srikakulam district,284874,0
Andhra Pradesh,2018,Q4 (Oct - Dec),visakhapatnam district,978288,0
Andhra Pradesh,2018,Q4 (Oct - Dec),prakasam district,394962,0
Andhra Pradesh,2018,Q4 (Oct - Dec),anantapur district,510892,0
Andhra Pradesh,2018,Q4 (Oct - Dec),kurnool district,498582,0
Andhra Pradesh,2018,Q4 (Oct - Dec),guntur district,659552,0
Andhra Pradesh,2018,Q4 (Oct - Dec),krishna district,682479,0
Andhra Pradesh,2018,Q4 (Oct - Dec),spsr nellore district,407495,0
Andhra Pradesh,2018,Q4 (Oct - Dec),vizianagaram district,257824,0
Andhra Pradesh,2018,Q4 (Oct - Dec),ysr district,387058,0
Andhra Pradesh,2018,Q4 (Oct - Dec),west godavari district,435668,0
Andhra Pradesh,2018,Q4 (Oct - Dec),chittoor district,665280,0
Andhra Pradesh,2019,Q1 (Jan - Mar),east godavari district,839277,0
Andhra Pradesh,2019,Q1 (Jan - Mar),srikakulam district,345775,0
Andhra Pradesh,2019,Q1 (Jan - Mar),visakhapatnam district,1174517,0
Andhra Pradesh,2019,Q1 (Jan - Mar),prakasam district,474260,0
Andhra Pradesh,2019,Q1 (Jan - Mar),anantapur district,612162,0
Andhra Pradesh,2019,Q1 (Jan - Mar),kurnool district,599422,0
Andhra Pradesh,2019,Q1 (Jan - Mar),guntur district,802394,0
Andhra Pradesh,2019,Q1 (Jan - Mar),krishna district,833694,0
Andhra Pradesh,2019,Q1 (Jan - Mar),spsr nellore district,491908,0
Andhra Pradesh,2019,Q1 (Jan - Mar),vizianagaram district,313334,0
Andhra Pradesh,2019,Q1 (Jan - Mar),ysr district,460590,0
Andhra Pradesh,2019,Q1 (Jan - Mar),west godavari district,523372,0
Andhra Pradesh,2019,Q1 (Jan - Mar),chittoor district,812314,0
Andhra Pradesh,2019,Q2 (Apr - Jun),east godavari district,945181,7156762
Andhra Pradesh,2019,Q2 (Apr - Jun),srikakulam district,392764,3230330
Andhra Pradesh,2019,Q2 (Apr - Jun),visakhapatnam district,1318740,13681907
Andhra Pradesh,2019,Q2 (Apr - Jun),prakasam district,539462,4488365
Andhra Pradesh,2019,Q2 (Apr - Jun),anantapur district,695114,6056591
Andhra Pradesh,2019,Q2 (Apr - Jun),kurnool district,680118,6240480
Andhra Pradesh,2019,Q2 (Apr - Jun),guntur district,915256,7268875
Andhra Pradesh,2019,Q2 (Apr - Jun),krishna district,952300,7822632
Andhra Pradesh,2019,Q2 (Apr - Jun),spsr nellore district,558303,4774473
Andhra Pradesh,2019,Q2 (Apr - Jun),vizianagaram district,355058,3541678
Andhra Pradesh,2019,Q2 (Apr - Jun),ysr district,519031,4345848
Andhra Pradesh,2019,Q2 (Apr - Jun),west godavari district,592185,3853094
Andhra Pradesh,2019,Q2 (Apr - Jun),chittoor district,925491,8914216
Andhra Pradesh,2019,Q3 (Jul - Sep),east godavari district,1057167,28275322
Andhra Pradesh,2019,Q3 (Jul - Sep),srikakulam district,437939,11813195
Andhra Pradesh,2019,Q3 (Jul - Sep),visakhapatnam district,1460464,54836001
Andhra Pradesh,2019,Q3 (Jul - Sep),prakasam district,598568,16267041
Andhra Pradesh,2019,Q3 (Jul - Sep),anantapur district,773656,22845084
Andhra Pradesh,2019,Q3 (Jul - Sep),kurnool district,755024,22827473
Andhra Pradesh,2019,Q3 (Jul - Sep),guntur district,1026418,28477132
Andhra Pradesh,2019,Q3 (Jul - Sep),krishna district,1066546,30077671
Andhra Pradesh,2019,Q3 (Jul - Sep),spsr nellore district,619592,17768733
Andhra Pradesh,2019,Q3 (Jul - Sep),vizianagaram district,394375,13065845
Andhra Pradesh,2019,Q3 (Jul - Sep),ysr district,574109,15833900
Andhra Pradesh,2019,Q3 (Jul - Sep),west godavari district,662102,14227407
Andhra Pradesh,2019,Q3 (Jul - Sep),chittoor district,1032733,34638738
Andhra Pradesh,2019,Q4 (Oct - Dec),east godavari district,1195228,38299189
Andhra Pradesh,2019,Q4 (Oct - Dec),srikakulam district,496266,16353822
Andhra Pradesh,2019,Q4 (Oct - Dec),visakhapatnam district,1620235,70749983
Andhra Pradesh,2019,Q4 (Oct - Dec),prakasam district,673522,21639748
Andhra Pradesh,2019,Q4 (Oct - Dec),anantapur district,873033,30278539
