State,Year,Quarter,Brands,Count,Percentage
Andhra Pradesh,2020,Q4 (Oct - Dec),Huawei,437125,0.025597946659647302
Andhra Pradesh,2020,Q4 (Oct - Dec),Apple,394191,0.02308374078744759
Andhra Pradesh,2020,Q4 (Oct - Dec),OnePlus,336518,0.019706422222502008
Andhra Pradesh,2020,Q4 (Oct - Dec),Lenovo,276671,0.016201794681775874
Andhra Pradesh,2020,Q4 (Oct - Dec),Others,1212259,0.07098962818341979
Andhra Pradesh,2021,Q4 (Oct - Dec),Xiaomi,5518238,0.24537466690980744
Andhra Pradesh,2021,Q4 (Oct - Dec),Vivo,4381023,0.19480712128567224
Andhra Pradesh,2021,Q4 (Oct - Dec),Samsung,4017419,0.17863905996119264
Andhra Pradesh,2021,Q4 (Oct - Dec),Oppo,2580845,0.1147601792856419
Andhra Pradesh,2021,Q4 (Oct - Dec),Realme,2528884,0.11244967490592858
Andhra Pradesh,2021,Q4 (Oct - Dec),Apple,544986,0.024233416213745824
Andhra Pradesh,2021,Q4 (Oct - Dec),OnePlus,525373,0.023361302082006298
Andhra Pradesh,2021,Q4 (Oct - Dec),Motorola,474422,0.02109570848968179
Andhra Pradesh,2021,Q4 (Oct - Dec),Huawei,409934,0.01822817694796872
Andhra Pradesh,2021,Q4 (Oct - Dec),Lenovo,224391,0.009977798507885778
Andhra Pradesh,2021,Q4 (Oct - Dec),Others,1283514,0.05707289541046881
Arunachal Pradesh,2018,Q4 (Oct - Dec),Xiaomi,15097,0.24408264890383496
Arunachal Pradesh,2018,Q4 (Oct - Dec),Samsung,12580,0.20338873439824096
Arunachal Pradesh,2018,Q4 (Oct - Dec),Vivo,11624,0.18793248399405033
Arunachal Pradesh,2018,Q4 (Oct - Dec),Oppo,8328,0.13464398887667334
Arunachal Pradesh,2018,Q4 (Oct - Dec),Realme,3613,0.0584136325421975
Arunachal Pradesh,2018,Q4 (Oct - Dec),Apple,1517,0.02452628855978788
Arunachal Pradesh,2018,Q4 (Oct - Dec),Gionee,1188,0.01920713962361767
Arunachal Pradesh,2018,Q4 (Oct - Dec),Motorola,944,0.015262238892840976
Arunachal Pradesh,2018,Q4 (Oct - Dec),OnePlus,896,0.014486192847442281
Arunachal Pradesh,2018,Q4 (Oct - Dec),Lenovo,831,0.013435297160964884
Arunachal Pradesh,2018,Q4 (Oct - Dec),Others,5234,0.08462135420034922
Arunachal Pradesh,2019,Q4 (Oct - Dec),Xiaomi,31369,0.242566945816998
Arunachal Pradesh,2019,Q4 (Oct - Dec),Vivo,26787,0.20713573201568192
Arunachal Pradesh,2019,Q4 (Oct - Dec),Samsung,26087,0.20172284470426305
